,date,information,related
13,2022-10-13,"Headline: Top 5 3rd Quarter Trades of BU - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: John Rowe, Lawyer and Utility CEO, Searched for Lessons in History, source:Yahoo, summary: The troubleshooting executive, who has died at age 77, used wealth to endow professorships and co-found schools., Headline: ComEd Delivers Record-High Reliable Service for Customers in First Three Quarters of 2022, source:Yahoo, summary: CHICAGO, October 13, 2022--ComEd’s investments to improve the reliability and resiliency of the power grid in northern Illinois continue to pay off for customers, as the company in the first three quarters of 2022 delivered the most reliable electric service in its more than century-long history. Reliability is defined using industry-standard metrics to determine how often customers experience power outages and how long power outages last when they do occur., Headline: Exelon Corp. stock outperforms competitors on strong trading day, source:MarketWatch, summary: Shares of Exelon Corp. advanced 3.53% to $37.23 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",EXC
14,2022-10-14,"Headline: Exelon Corp. stock falls Friday, still outperforms market, source:MarketWatch, summary: Shares of Exelon Corp. slid 1.72% to $36.59 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",EXC
15,2022-10-16,"Headline: Exelon names Calvin Butler COO, Jeanne Jones CFO, source:Thefly.com, summary: Exelon announced that it ... EXC",EXC
16,2022-10-17,"Headline: Exelon Names Calvin Butler Jr. as Pres, COO; Jeanne Jones Named CFO, source:MarketWatch, summary: By Stephen Nakrosis Exelon Corp. said Monday that Calvin G. Butler Jr., the company's chief operating officer, has been named as president and COO of the..., Headline: Exelon Corp. stock rises Monday, still underperforms market, source:MarketWatch, summary: Shares of Exelon Corp. rose 1.39% to $37.10 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index..., Headline: Exelon Announces Leadership Changes as Company Shapes the Future of Energy Delivery and Grid Transformation, source:Yahoo, summary: CHICAGO, October 17, 2022--Exelon announces leadership changes as company shapes the future of energy delivery and grid transformation.",EXC
17,2022-10-18,"Headline: Exelon price target lowered to $41 from $51 at BMO Capital, source:Thefly.com, summary: BMO Capital analyst James... EXC, Headline: Calvin Butler promoted to president at Exelon Corp., source:Yahoo, summary: Calvin Butler, the well-known Baltimore executive, has been promoted to president at Exelon Corp., the Chicago-based energy giant behind Baltimore Gas and Electric Co. and a host of other utilities.  The promotion marks an expanded role for Butler, who had previously served as senior executive vice president and chief operating officer at Exelon., Headline: Exelon Corp. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Exelon Corp. rose 1.24% to $37.56 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",EXC
18,2022-10-19,"Headline: Exelon (EXC) Receives a Buy from Credit Suisse, source:TipRanks, summary: In a report released today, Nicholas Campanella from Credit Suisse initiated coverage with a Buy rating on Exelon (EXC &#8211; Research Report) and a price target o..., Headline: Constellation Appoints Nneka L. Rimmer to Its Board of Directors, source:Business Wire, summary: No summary, Headline: Exelon’s Diversity, Equity & Inclusion Honor Roll Recognizes Business Partners Advancing Shared DEI Values, source:Yahoo, summary: CHICAGO, October 19, 2022--As part of its ongoing commitment to diversity, equity and inclusion, Exelon has named 34 companies to its annual DEI Honor Roll., Headline: ComEd Community Solar Projects Delivering Monthly Savings to Income-eligible Customers, source:Yahoo, summary: CHICAGO, October 19, 2022--ComEd today announced that subscribers to three community solar projects designed for income-eligible customers are now receiving credits that will provide approximately $1,000 a year in savings on their electricity bills for up to three years., Headline: Exelon Corp. stock falls Wednesday, underperforms market, source:MarketWatch, summary: Shares of Exelon Corp. shed 1.89% to $36.85 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index..., Headline: FUTY: Utilities Dashboard For October, source:SeekingAlpha, summary: SPDR XLU and Fidelity FUTY are ETFs tracking utility indexes. Which is a good instrument for those seeking a capital-weighted exposure in utilities? Find out.",EXC
19,2022-10-20,"Headline: Exelon downgraded to Sector Weight from Overweight at KeyBanc, source:Thefly.com, summary: KeyBanc analyst Sophie Ka... EXC, Headline: Outfitter Financial LLC's Top  - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: ComEd, North Carolina State University Receive Federal Grant to Develop, Demonstrate Extreme Fast Charging for Electric Vehicles, source:Yahoo, summary: CHICAGO, October 20, 2022--ComEd, in partnership with North Carolina State University’s FREEDM Systems Center, has been awarded a $200,000 federal research and development grant from the U.S. Department of Energy (DOE) to help fund a $5 million research project focused on improving the efficiency of, and reducing the cost of, extreme fast charging (XFC) for electric vehicles (EVs).",EXC
20,2022-10-21,"Headline: Morgan Stanley Remains a Buy on Exelon (EXC), source:TipRanks, summary: In a report released today, Stephen Byrd from Morgan Stanley maintained a Buy rating on Exelon (EXC &#8211; Research Report), with a price target of $43.00. The com..., Headline: Constellation Energy Bets On Nuclear To Fuel Strong Profit Run, source:Yahoo, summary: Constellation Energy is riding momentum from the recently approved Inflation Reduction Act, and could see earnings triple by 2026., Headline: 10 Value Stocks That Are Too Cheap To Ignore, source:Yahoo, summary: In this piece we will take a look at the ten value stocks that are too cheap to ignore. For more stocks, head on over to 5 Value Stocks That Are Too Cheap To Ignore. The current bloodbath that stock markets are facing could not have been predicted by Nostradamus himself if he were alive […]",EXC
21,2022-10-24,"Headline: Top 5 3rd Quarter Trades of US - GuruFocus.com, source:GuruFocus, summary: GuruFocus Article or News written by insider and the topic is about: , Headline: Exelon price target lowered to $40 from $49 at Guggenheim, source:Thefly.com, summary: Guggenheim analyst Shahri... EXC",EXC
22,2022-10-27,"Headline: Analysts Estimate Exelon (EXC) to Report a Decline in Earnings: What to Look Out for, source:Yahoo, summary: Exelon (EXC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations., Headline: New Tool Available to Help Spanish-Speaking ComEd Customers Lower Bills and Energy Use, source:Yahoo, summary: CHICAGO, October 27, 2022--To support Spanish-speaking customers in identifying the bill-assistance and energy-management support they may need, ComEd has made its Smart Assistance Manager (SAM) available in Spanish., Headline: ComEd Helps Families and Businesses Identify Energy Vampires Lurking This Halloween, source:Yahoo, summary: CHICAGO, October 27, 2022--Energy vampires are real and may be draining electricity from your home or business. This Halloween, ComEd encourages customers to put a stake in energy vampires by taking a few, simple steps that can save both money and energy., Headline: Exelon Corp. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Exelon Corp. inched 0.24% higher to $37.70 Thursday, on what proved to be an all-around mixed trading session for the stock market, with the Dow..., Headline: ComEd, Peoples Gas, and North Shore Gas to Collaborate on Gas Meter Reading, source:Yahoo, summary: CHICAGO, October 27, 2022--The Illinois Commerce Commission today approved an innovative collaboration that enables Peoples Gas and North Shore Gas to securely transmit natural gas meter data via ComEd’s smart grid communications network, creating new efficiencies and cost savings for gas customers and reducing carbon emissions. Together, the two natural gas providers serve more than 1 million customers, and the majority receive their electricity service from ComEd.",EXC
23,2022-10-28,"Headline: Exelon Corporation Declares Dividend, source:Yahoo, summary: CHICAGO, October 28, 2022--The Board of Directors of Exelon Corporation declared a regular quarterly dividend of $0.3375 per share on Exelon’s common stock., Headline: Exelon Corp. stock underperforms Friday when compared to competitors despite daily gains, source:MarketWatch, summary: Shares of Exelon Corp. advanced 2.81% to $38.76 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500..., Headline: ComEd Announces $250,000 in Grants to Bring EVs into Driver Education, source:Yahoo, summary: CHICAGO, October 28, 2022--Students at five area public high schools will get behind the wheel of an electric vehicles (EV) in driver education class thanks to a $250,000 investment ComEd announced today with Chicago Public Schools (CPS) and educators from across the region. The ComEd EVs for Education program, which provides schools funding to offset the cost of an EV and EV charger, will give students first-hand experience driving EVs and learning about new zero-emissions vehicles on the rise",EXC
