,date,information,related
10,2022-10-07,"Headline: Marriott International Inc. stock outperforms market despite losses on the day, source:MarketWatch, summary: Shares of Marriott International Inc. shed 1.78% to $141.50 Friday, on what proved to be an all-around dismal trading session for the stock market, with the...",MAR
11,2022-10-08,"Headline: Marriott’s new $600M headquarters is betting big on the future of the physical office for its hybrid workforce, source:Yahoo, summary: Marriott opened the doors to its new headquarters—a 21-story, 785,000-square-foot building that took more than half a billion dollars and six years of planning and construction to complete.",MAR
12,2022-10-09,"Headline: LRT Capital Management September 2022 Investor Update, source:SeekingAlpha, summary: LRT Capital's Sept. results were poor - as of 10/3/22, net exposure was ~102.73% & beta-adjusted exposure was 84.33%. Click here to read the full fund letter.",MAR
13,2022-10-10,"Headline: Marriott International Inc. stock falls Monday, still outperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. slipped 0.71% to $140.50 Monday, on what proved to be an all-around grim trading session for the stock market, with the...",MAR
14,2022-10-11,"Headline: 12 Best Hotel Stocks To Buy Now, source:Yahoo, summary: In this article, we will discuss the 12 best hotel stocks to buy now. You can skip our comprehensive analysis of the hotel industry, and go directly to the 5 Best Hotel Stocks To Buy Now. The hotel industry is a branch of the hospitality sector that focuses on offering lodging services to clients. According […], Headline: Marriott International Inc. stock falls Tuesday, underperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. shed 1.22% to $138.79 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the...",MAR
15,2022-10-13,"Headline: Is Marriott International, Inc. (NASDAQ:MAR) Trading At A 36% Discount?, source:Yahoo, summary: In this article we are going to estimate the intrinsic value of Marriott International, Inc. ( NASDAQ:MAR ) by..., Headline: Marriott International Announces Release Date for Third Quarter 2022 Earnings, source:Yahoo, summary: Marriott International, Inc., (NASDAQ: MAR) will report third quarter 2022 earnings results on Thursday, November 3, 2022, at approximately 6:30 a.m. Eastern Time (ET). The company will hold a conference call for the investment community on Thursday, November 3, 2022, at 8:00 a.m. ET. Marriott International's Chief Executive Officer, Anthony Capuano, as well as Chief Financial Officer and Executive Vice President, Business Operations, Leeny Oberg, will discuss the company's performance., Headline: DISCOVER PUERTO RICO AND MARRIOTT INTERNATIONAL LAUNCH LIVE BORICUA EXPERIENCE PACKAGES THROUGH THE HOLIDAY SEASON, source:Yahoo, summary: Discover Puerto Rico, the Island's Destination Marketing Organization (DMO) and Marriott International have partnered to announce today the launch of Live Boricua Experience Packages that offer immersive rooms, featuring arts, decor, experiences and culinary offerings deeply rooted in the Puerto Rican DNA. Inspired by Discover Puerto Rico's Live Boricua brand campaign, which invites travelers to enjoy things the Boricua - or Puerto Rican - way, these travel packages include lodging and experienc, Headline: EV Mobility and W South Beach sign an agreement to deploy electric vehicles as an amenity for their guests, source:PR Newswire, summary: No summary",MAR
16,2022-10-14,"Headline: Marriott International Inc. stock rises Friday, outperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. inched 0.22% higher to $143.53 Friday, on what proved to be an all-around poor trading session for the stock market,...",MAR
17,2022-10-17,"Headline: The Ritz-Carlton Yacht Collection Sets Sail, source:Yahoo, summary: The Ritz-Carlton® today announced the debut of The Ritz-Carlton Yacht Collection, marking a significant moment for the iconic hospitality brand as it makes its foray into the luxury yachting space. Envisioned to perfectly blend the lifestyle of The Ritz-Carlton resorts with the casual freedom of a yachting vacation, Evrima, the first of three custom-built yachts from The Ritz-Carlton Yacht Collection, set sail on October 15, 2022, with a voyage from Barcelona, Spain, to Nice, Italy, delivering h, Headline: Marriott International Inc. stock outperforms market on strong trading day, source:MarketWatch, summary: Shares of Marriott International Inc. rose 3.01% to $147.85 Monday, on what proved to be an all-around positive trading session for the stock market, with..., Headline: Hilton CEO:  The Fed will lead the economy to a 'soft-to-bumpy landing', source:Yahoo, summary: Hilton CEO shares his thoughts on the economic impact of the Federal Reserve's interest rate hikes.",MAR
18,2022-10-18,"Headline: Marriott launches The Ritz-Carlton Yacht Collection, offering ultra-luxury cruises, source:Yahoo, summary: Marriott International Inc. (NASDAQ: MAR) is finally taking its ultra-luxury accommodations to the high seas.  The Bethesda hotel giant on Monday announced it has launched The Ritz-Carlton Yacht Collection, what it bills as a combination of its high-end luxury hotel brand and the joys and exploration of a yachting vacation.  The Evrima, a luxury vessel flying The Ritz-Carlton flag, left Saturday from Barcelona on a route to Nice on the French Riviera., Headline: 6 Reasons to Stay at The Westin Surabaya, source:Yahoo, summary: Whether it is quick and short or long and extended, our minds and bodies welcome breaks. In the midst of our daily routines, between work and social life, we must seek times to just unplug from everything and slow down a bit. Especially after having those two-year pandemic where the world felt like turning very slowly, most people became well aware of the importance of taking a break—all for the sake of their own wellbeing., Headline: Marriott International Inc. stock rises Tuesday, outperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. advanced 1.45% to $149.99 Tuesday, on what proved to be an all-around positive trading session for the stock market,..., Headline: A look around the AC Hotel, downtown Bethesda's other new Marriott property, source:Yahoo, summary: The AC Hotel Downtown Bethesda’s opening in mid-August may have been overshadowed by a host of events this summer, including the opening of Marriott International Inc.’s new headquarters and adjacent flagship hotel less than a half-mile away, but that’s just fine by Chris Raines.  Raines is general manager of the the 220-room AC Hotel at 4646 Montgomery Ave., which celebrated its grand opening on Aug. 16, the same day media outlets, including the Washington Business Journal, were touring Marriott’s new corporate home at 7750 Wisconsin Ave. The WBJ caught up with Raines for a tour of his new hotel on Oct. 14., Headline: Marriott International (MAR) Outpaces Stock Market Gains: What You Should Know, source:Yahoo, summary: In the latest trading session, Marriott International (MAR) closed at $149.99, marking a +1.45% move from the previous day.",MAR
19,2022-10-19,"Headline: Howard University Diversifying C-Suites in Hospitality Through Endowment From The Marriott Foundation, source:Yahoo, summary: Time to add some color to the C-suite! Howard University's endowment builds a pipeline to diversity in the hospitality industry., Headline: Marriott to Buy City Express Hotel Portfolio for $100 Million, source:MarketWatch, summary: By Will Feuer Lodging company Marriott International Inc. said it has agreed to buy the City Express brand hotel portfolio from Hoteles City Express S.A.B...., Headline: Deutsche Bank Remains a Hold on Marriott International (MAR), source:TipRanks, summary: In a report released today, Carlo Santarelli from Deutsche Bank maintained a Hold rating on Marriott International (MAR &#8211; Research Report), with a price targe..., Headline: Marriott International to Acquire City Express Brand to Fuel Growth in Affordable Midscale Segment, source:Yahoo, summary: Marriott International (NASDAQ: MAR) announced today that it has reached an agreement with Hoteles City Express, S.A.B. de C.V. (BMV: HCITY) to acquire the highly regarded City Express brand portfolio, marking Marriott's entry into the affordable midscale segment with its 31st brand., Headline: Mexico's Hoteles City sells five brands to Marriott for $100 million, source:Reuters, summary: Mexican hotel chain Hoteles City said on Wednesday it had sold five brands to Marriott International for $100 million., Headline: Marriott International Inc. stock remains steady Wednesday, still outperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. were unchanged Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",MAR
20,2022-10-20,"Headline: Marriott reaches deal to buy Mexico's City Express hotels for $100M, source:Yahoo, summary: Hotel giant Marriott International Inc. (NASDAQ: MAR) is adding a 31st brand to its portfolio after reaching a deal with Mexico City’s Hoteles City Express to purchase its City Express portfolio.  The Bethesda hotel company said Wednesday it will pay $100 million for 152 midscale hotels totaling 17,356 rooms across 75 cities in Mexico, Costa Rica, Colombia and Chile.  The Latin American hotel brand includes City Express, City Express Plus, City Express Suites, City Express Junior and City Centro properties., Headline: Marriott International Inc. stock falls Thursday, underperforms market, source:MarketWatch, summary: Shares of Marriott International Inc. slid 1.65% to $147.52 Thursday, on what proved to be an all-around dismal trading session for the stock market, with..., Headline: Marriott (MAR) Boosts Brand Lineup With City Express Addition, source:Yahoo, summary: Marriott's (MAR) acquisition of City Express brand portfolio will likely boost its presence in the CALA region by 45% to 486 properties across 37 countries., Headline: Marriott Is Ending a Popular Airline Program, source:Yahoo, summary: There's no shortage of either airlines or hotel chains to stay at, plus these days hotels have to compete with Airbnb and other online home exchange platforms.  Every airline and hotel chain, of course, tries to differentiate itself in some way, either by focusing on the customer experience like Southwest (although employees have some thoughts on that these days) or Frontier, which will give you the cheapest possible flight, and not much else.",MAR
